role,kp,action_label,rmse_rad,phase_lag_deg,amplitude_ratio,overshoot_rad,tail_std_rad,tail_peak_to_peak_rad,tail_diff_rms_rad,rmse_term,phase_lag_term,amplitude_ratio_term,smoothness_term,rmse_penalty,phase_lag_penalty,amplitude_ratio_penalty,overshoot_penalty,search_cost,search_cost_std,repeat_count,strict_ok,expand_safe,stable_ok,note,raw_trial_count,display_action_label,display_repeat_index,display_initial_position_rad,display_initial_reference_position_rad,display_target_position_rad,display_final_position_rad,display_final_reference_position_rad,display_sample_count
baseline,0.100000,multi_action,0.007947,131.690183,0.988767,0.000004,0.000059,0.000200,0.000020,45.533955,65.845092,0.224665,0.486516,4453.395538,3242.254579,0.000000,0.000000,8127.492904,3217.037272,6,False,False,False,aggregated_from_multi_actions,6,input_2,2,-0.001582,-0.001642,0.000000,0.000048,0.000096,137
candidate,0.090000,multi_action,0.008459,154.637000,0.998030,0.000008,0.000084,0.000304,0.000018,48.464487,77.318500,0.044094,0.677048,4746.448709,3815.925006,0.000000,0.000000,10006.375883,3554.027994,6,False,False,False,aggregated_from_multi_actions,6,input_2,1,-0.001582,-0.001593,0.000000,0.000096,0.000084,136
candidate,0.110000,multi_action,0.007556,131.393223,1.001440,0.000035,0.000037,0.000128,0.000018,43.290076,65.696611,0.052343,0.325507,4229.007630,3234.830572,0.000000,1000.000000,8059.861407,2246.522480,6,False,True,True,aggregated_from_multi_actions,6,input_2,2,-0.001726,-0.001714,0.000000,-0.000096,-0.000081,137
candidate,0.105000,multi_action,0.007730,134.828391,1.006608,0.000025,0.000045,0.000152,0.000019,44.290116,67.414196,0.155903,0.383728,4329.011633,3320.709781,0.000000,1000.000000,7914.840394,2210.621466,6,False,True,True,aggregated_from_multi_actions,6,input_2,1,-0.001678,-0.001699,0.000000,0.000096,0.000088,137
candidate,0.025000,multi_action,0.016034,inf,1.341533,0.000000,0.001070,0.003547,0.000107,91.867068,372.766392,17.669230,7.862737,9086.706808,18588.319580,19.309257,0.000000,29759.431169,5347.385042,6,False,False,False,aggregated_from_multi_actions,6,input_1,2,-0.008868,-0.001719,-0.050000,-0.043047,-0.050042,153
candidate,0.185000,multi_action,0.005715,82.834112,1.027907,0.000042,0.000022,0.000056,0.000023,32.745351,41.417056,0.620296,0.213550,3174.535149,2020.852805,0.000000,1000.000000,5428.195467,1958.669462,6,False,True,True,aggregated_from_multi_actions,6,input_2,2,-0.001678,-0.001681,0.000000,-0.000096,-0.000096,135
candidate,0.155000,multi_action,0.006184,97.322382,1.000608,0.000050,0.000016,0.000040,0.000019,35.431989,48.661191,0.032102,0.162003,3443.198879,2383.059538,0.000000,1000.000000,6567.375052,2130.071013,6,False,True,True,aggregated_from_multi_actions,6,input_2,2,-0.001678,-0.001662,0.000000,0.000048,0.000057,137
best_candidate,0.215000,multi_action,0.005000,69.486867,1.012275,0.000083,0.000020,0.000056,0.000017,28.647586,34.743434,0.245501,0.186040,2764.758583,1687.171677,0.000000,1000.000000,5175.193654,1762.583230,6,False,True,True,aggregated_from_multi_actions,6,input_2,1,-0.001630,-0.001611,0.000000,0.000000,-0.000002,137
candidate,0.206000,multi_action,0.005140,69.941303,1.003199,0.000088,0.000015,0.000040,0.000018,29.448036,34.970651,0.065372,0.156655,2844.803641,1698.532567,0.000000,1000.000000,5434.188769,1695.074353,6,False,True,True,aggregated_from_multi_actions,6,input_2,1,-0.001630,-0.001626,0.000000,0.000048,0.000042,137
