role,kp,action_label,repeat_index,rmse_rad,phase_lag_deg,amplitude_ratio,overshoot_rad,tail_std_rad,tail_peak_to_peak_rad,tail_diff_rms_rad,rmse_term,phase_lag_term,amplitude_ratio_term,smoothness_term,rmse_penalty,phase_lag_penalty,amplitude_ratio_penalty,overshoot_penalty,search_cost,strict_ok,expand_safe,stable_ok,note,initial_position_rad,initial_reference_position_rad,target_position_rad,final_position_rad,final_reference_position_rad,sample_count,summary_action_label,summary_repeat_count,summary_search_cost_std
baseline,0.200000,input_1,1,0.000026,inf,0.000000,0.000000,inf,inf,inf,0.148174,inf,inf,inf,0.000000,inf,inf,0.000000,inf,False,False,False,reference step too small,-0.049902,-0.049854,-0.050000,-0.049854,-0.049854,134,multi_action,6,nan
baseline,0.200000,input_1,2,0.000026,-16.764349,0.307420,0.000048,0.000023,0.000048,0.000028,0.147332,-8.382174,13.851594,0.221879,0.000000,0.000000,54.111976,0.000000,51.127407,False,False,True,,-0.049998,-0.049929,-0.050000,-0.050046,-0.049998,133,multi_action,6,nan
baseline,0.200000,input_2,1,0.007352,60.905925,1.002306,0.000140,0.000028,0.000144,0.000021,42.121834,30.452963,0.046130,0.323227,4112.183369,1472.648134,0.000000,1000.000000,6651.488853,False,True,True,,-0.049902,-0.049854,0.000000,0.000048,0.000004,154,multi_action,6,nan
baseline,0.200000,input_2,2,0.007342,69.079152,0.999333,0.000032,0.000022,0.000048,0.000025,42.067515,34.539576,0.013350,0.207139,4106.751520,1676.978788,0.000000,0.000000,5853.536391,False,True,True,,-0.049998,-0.049998,0.000000,0.000048,0.000064,154,multi_action,6,nan
baseline,0.200000,input_3,1,0.012881,69.760385,1.000727,0.000051,0.000034,0.000096,0.000026,73.800428,34.880193,0.014546,0.307806,7280.042814,1694.009632,0.000000,1000.000000,10075.914568,False,True,True,,-0.050046,-0.049988,0.050000,0.050046,0.049995,164,multi_action,6,nan
baseline,0.200000,input_3,2,0.012895,67.603706,1.000864,0.000117,0.000025,0.000096,0.000027,73.883751,33.801853,0.017285,0.280295,7288.375126,1640.092648,0.000000,1000.000000,10029.537476,False,True,True,,-0.049998,-0.049989,0.050000,0.050094,0.050025,163,multi_action,6,nan
candidate,0.180000,input_1,1,0.000032,-27.204084,1.630591,0.000048,0.000024,0.000048,0.000026,0.184406,-13.602042,12.611811,0.220565,0.000000,0.000000,0.000000,0.000000,-7.433993,True,True,True,,-0.050046,-0.050031,-0.050000,-0.050094,-0.050046,134,multi_action,6,nan
candidate,0.180000,input_1,2,0.000020,inf,0.000000,0.000000,inf,inf,inf,0.113790,inf,inf,inf,0.000000,inf,inf,0.000000,inf,False,False,False,reference step too small,-0.050046,-0.050046,-0.050000,-0.050046,-0.050046,134,multi_action,6,nan
candidate,0.180000,input_2,1,0.008081,73.326886,1.000489,0.000099,0.000030,0.000096,0.000023,46.300899,36.663443,0.009773,0.284817,4530.089902,1783.172146,0.000000,1000.000000,7389.038553,False,True,True,,-0.050046,-0.050046,0.000000,0.000096,0.000093,154,multi_action,6,nan
candidate,0.180000,input_2,2,0.007977,69.167351,1.001372,0.000019,0.000017,0.000048,0.000021,45.703730,34.583675,0.027431,0.181031,4470.373021,1679.183770,0.000000,0.000000,6223.024835,False,True,True,,-0.049998,-0.049939,0.000000,-0.000048,-0.000019,152,multi_action,6,nan
candidate,0.180000,input_3,1,0.013729,78.106125,1.000081,0.000052,0.000020,0.000048,0.000024,78.659069,39.053062,0.001617,0.197744,7765.906901,1902.653122,0.000000,1000.000000,10778.560818,False,True,True,,-0.049998,-0.050000,0.050000,0.049998,0.049994,165,multi_action,6,nan
candidate,0.180000,input_3,2,0.013770,77.836278,1.000757,0.000056,0.000023,0.000048,0.000033,78.898553,38.918139,0.015132,0.241337,7789.855344,1895.906947,0.000000,1000.000000,10795.919807,False,True,True,,-0.049950,-0.049909,0.050000,0.050094,0.050086,164,multi_action,6,nan
candidate,0.220000,input_1,1,0.000033,-22.778586,0.498369,0.000096,0.000023,0.000048,0.000022,0.188725,-11.389293,10.032624,0.204509,0.000000,0.000000,38.032103,1000.000000,1031.719804,False,False,True,,-0.049902,-0.049924,-0.050000,-0.049902,-0.049902,133,multi_action,6,nan
candidate,0.220000,input_1,2,0.000034,inf,0.000000,0.000000,inf,inf,inf,0.197048,inf,inf,inf,0.000000,inf,inf,0.000000,inf,False,False,False,reference step too small,-0.049950,-0.049902,-0.050000,-0.049902,-0.049902,136,multi_action,6,nan
