role,kp,action_label,rmse_rad,phase_lag_deg,amplitude_ratio,overshoot_rad,tail_std_rad,tail_peak_to_peak_rad,tail_diff_rms_rad,rmse_term,phase_lag_term,amplitude_ratio_term,smoothness_term,rmse_penalty,phase_lag_penalty,amplitude_ratio_penalty,overshoot_penalty,search_cost,search_cost_std,repeat_count,strict_ok,expand_safe,stable_ok,note,raw_trial_count,display_action_label,display_repeat_index,display_initial_position_rad,display_initial_reference_position_rad,display_target_position_rad,display_final_position_rad,display_final_reference_position_rad,display_sample_count
baseline,0.500000,multi_action,0.002699,14.563627,0.944111,0.000073,0.000035,0.000080,0.000011,15.466526,7.281813,5.554034,0.244283,1474.511492,539.724202,13.333333,1000.000000,2550.371654,1425.829161,6,False,False,True,aggregated_from_multi_actions,6,input_2,2,-0.000815,-0.000805,0.000000,-0.000815,-0.000815,135
candidate,0.450000,multi_action,0.002932,13.669945,1.173756,0.000068,0.000025,0.000064,0.000008,16.796777,6.834973,3.486045,0.182813,1608.779816,530.520160,0.000000,1000.000000,2662.527649,1901.926732,6,False,True,True,aggregated_from_multi_actions,6,input_2,1,-0.000719,-0.000698,0.000000,-0.000719,-0.000719,135
best_candidate,0.550000,multi_action,0.002505,11.186491,0.480055,0.000067,0.000025,0.000064,0.000011,14.353635,5.593245,10.422082,0.192306,1362.374831,438.562020,42.423654,1000.000000,2531.557076,1358.911990,6,False,False,True,aggregated_from_multi_actions,6,input_2,2,-0.000719,-0.000767,0.000000,-0.000719,-0.000719,134
candidate,0.532500,multi_action,0.002596,inf,0.667296,0.000038,inf,inf,inf,14.873457,inf,inf,inf,1415.684277,inf,inf,1000.000000,inf,nan,6,False,False,False,aggregated_from_multi_actions,6,input_1,2,-0.000767,-0.000778,-0.050000,-0.049902,-0.049910,152
candidate,0.470000,multi_action,0.002843,11.608412,1.254664,0.000057,0.000022,0.000048,0.000006,16.287686,5.804206,5.120280,0.147623,1552.758303,536.567670,0.000000,1000.000000,2611.610905,1499.953884,6,False,True,True,aggregated_from_multi_actions,6,input_2,2,-0.000623,-0.000671,0.000000,-0.000575,-0.000623,134
candidate,0.630000,multi_action,0.002287,inf,0.666175,0.000059,inf,inf,inf,13.103251,inf,inf,inf,1239.961609,inf,inf,1000.000000,inf,nan,6,False,False,False,aggregated_from_multi_actions,6,input_1,1,-0.000815,-0.000786,-0.050000,-0.050094,-0.050092,153
candidate,0.520000,multi_action,0.002643,inf,0.736159,0.000088,inf,inf,inf,15.141583,inf,inf,inf,1445.753103,inf,inf,1000.000000,inf,nan,6,False,False,False,aggregated_from_multi_actions,6,input_1,2,-0.000767,-0.000744,-0.050000,-0.050142,-0.050071,154
candidate,0.580000,multi_action,0.002428,inf,0.667028,0.000074,inf,inf,inf,13.908901,inf,inf,inf,1323.207038,inf,inf,1000.000000,inf,nan,6,False,False,False,aggregated_from_multi_actions,6,input_1,1,-0.000575,-0.000638,-0.050000,-0.049998,-0.049967,153
