role,kp,action_label,repeat_index,rmse_rad,phase_lag_deg,amplitude_ratio,overshoot_rad,tail_std_rad,tail_peak_to_peak_rad,tail_diff_rms_rad,rmse_term,phase_lag_term,amplitude_ratio_term,smoothness_term,rmse_penalty,phase_lag_penalty,amplitude_ratio_penalty,overshoot_penalty,search_cost,strict_ok,expand_safe,stable_ok,note,initial_position_rad,initial_reference_position_rad,target_position_rad,final_position_rad,final_reference_position_rad,sample_count,summary_action_label,summary_repeat_count,summary_search_cost_std
baseline,0.500000,input_1,1,0.004040,32.754865,0.999619,0.000042,0.000024,0.000048,0.000008,23.148489,16.377432,0.007615,0.157782,2214.848933,768.871624,0.000000,0.000000,3020.051787,False,True,True,,-0.000719,-0.000719,-0.050000,-0.050046,-0.050053,153,multi_action,6,1425.829161
baseline,0.500000,input_1,2,0.003962,34.556648,1.000687,0.000085,0.000022,0.000048,0.000008,22.700239,17.278324,0.013734,0.151090,2170.023904,813.916201,0.000000,1000.000000,4020.541982,False,True,True,,-0.000815,-0.000816,-0.050000,-0.050094,-0.050057,153,multi_action,6,1425.829161
baseline,0.500000,input_2,1,0.000056,-24.018946,1.663263,0.000144,0.000072,0.000192,0.000022,0.319071,-12.009473,13.265266,0.525731,0.000000,0.000000,0.000000,1000.000000,994.290675,False,True,True,,-0.000719,-0.000766,0.000000,-0.000623,-0.000719,134,multi_action,6,1425.829161
baseline,0.500000,input_2,2,0.000002,-26.133101,-0.000000,0.000000,0.000000,0.000000,0.000000,0.009398,-13.066551,20.000000,0.000000,0.000000,0.000000,80.000000,0.000000,74.556158,False,False,True,,-0.000815,-0.000805,0.000000,-0.000815,-0.000815,135,multi_action,6,1425.829161
baseline,0.500000,input_3,1,0.004086,35.554979,1.001487,0.000117,0.000071,0.000144,0.000023,23.409163,17.777489,0.029739,0.475260,2240.916313,838.874470,0.000000,1000.000000,4117.667003,False,True,True,,-0.000671,-0.000623,0.050000,0.050046,0.049977,153,multi_action,6,1425.829161
baseline,0.500000,input_3,2,0.004051,34.667317,0.999608,0.000050,0.000023,0.000048,0.000008,23.212798,17.333658,0.007847,0.155836,2221.279801,816.682918,0.000000,0.000000,3075.122323,False,True,True,,-0.000815,-0.000815,0.050000,0.050046,0.050092,154,multi_action,6,1425.829161
candidate,0.450000,input_1,1,0.004358,33.050647,0.998361,0.000035,0.000000,0.000000,0.000000,24.970333,16.525323,0.032779,0.000000,2397.033341,776.266168,0.000000,0.000000,3211.498296,False,True,True,,-0.000767,-0.000700,-0.050000,-0.049902,-0.049916,153,multi_action,6,1901.926732
candidate,0.450000,input_1,2,0.004303,34.883300,1.000547,0.000087,0.000037,0.000096,0.000011,24.652559,17.441650,0.010947,0.267458,2365.255921,822.082495,0.000000,1000.000000,4226.080761,False,True,True,,-0.000671,-0.000729,-0.050000,-0.049950,-0.049911,154,multi_action,6,1901.926732
candidate,0.450000,input_2,1,0.000027,-31.146385,1.486874,0.000048,0.000021,0.000048,0.000008,0.153206,-15.573192,9.737483,0.151574,0.000000,0.000000,0.000000,0.000000,-9.795190,True,True,True,,-0.000719,-0.000698,0.000000,-0.000719,-0.000719,135,multi_action,6,1901.926732
candidate,0.450000,input_2,2,0.000018,-22.158783,1.555556,0.000048,0.000024,0.000048,0.000008,0.100665,-11.079392,11.111111,0.160419,0.000000,0.000000,0.000000,0.000000,-5.904862,True,True,True,,-0.000719,-0.000719,0.000000,-0.000623,-0.000671,134,multi_action,6,1901.926732
