role,kp,action_label,repeat_index,rmse_rad,phase_lag_deg,amplitude_ratio,overshoot_rad,tail_std_rad,tail_peak_to_peak_rad,tail_diff_rms_rad,rmse_term,phase_lag_term,amplitude_ratio_term,smoothness_term,rmse_penalty,phase_lag_penalty,amplitude_ratio_penalty,overshoot_penalty,search_cost,strict_ok,expand_safe,stable_ok,note,initial_position_rad,initial_reference_position_rad,target_position_rad,final_position_rad,final_reference_position_rad,sample_count,summary_action_label,summary_repeat_count,summary_search_cost_std
baseline,0.500000,input_1,1,0.004087,34.576385,0.999778,0.000097,0.000048,0.000144,0.000021,23.414257,17.288193,0.004446,0.386842,2241.425700,814.409635,0.000000,1000.000000,4093.274678,False,True,True,,-0.000096,-0.000096,-0.050000,-0.049902,-0.049949,153,multi_action,6,1884.309862
baseline,0.500000,input_1,2,0.004070,34.626470,0.999434,0.000055,0.000008,0.000048,0.000008,23.319130,17.313235,0.011313,0.105110,2231.912980,815.661751,0.000000,1000.000000,4084.799832,False,True,True,,-0.000096,-0.000060,-0.050000,-0.049950,-0.049943,152,multi_action,6,1884.309862
baseline,0.500000,input_2,1,0.000022,-31.967475,-0.375297,0.000048,0.000011,0.000048,0.000008,0.123273,-15.983737,27.505937,0.118677,0.000000,0.000000,111.603946,0.000000,105.876052,False,False,True,,-0.000240,-0.000230,0.000000,-0.000192,-0.000240,135,multi_action,6,1884.309862
baseline,0.500000,input_2,2,0.000030,-33.082039,-0.263810,0.000048,0.000019,0.000048,0.000017,0.169159,-16.541020,25.276204,0.173505,0.000000,0.000000,102.215596,0.000000,95.557744,False,False,True,,-0.000144,-0.000097,0.000000,-0.000144,-0.000144,134,multi_action,6,1884.309862
baseline,0.500000,input_3,1,0.004101,34.632665,1.000707,0.000192,0.000077,0.000240,0.000048,23.499163,17.316332,0.014144,0.684390,2249.916321,815.816614,0.000000,1000.000000,4103.430895,False,False,True,,-0.000192,-0.000192,0.050000,0.050046,0.050046,154,multi_action,6,1884.309862
baseline,0.500000,input_3,2,0.004181,33.080779,1.000612,0.000153,0.000078,0.000288,0.000032,23.955892,16.540390,0.012241,0.686682,2295.589239,777.019486,0.000000,1000.000000,4110.143331,False,False,True,,-0.000144,-0.000144,0.050000,0.049950,0.050037,154,multi_action,6,1884.309862
candidate,0.450000,input_1,1,0.004375,33.139159,0.999574,0.000112,0.000049,0.000144,0.000019,25.066511,16.569579,0.008528,0.387988,2406.651123,778.478971,0.000000,1000.000000,4223.648394,False,True,True,,-0.000240,-0.000236,-0.050000,-0.049950,-0.049934,155,multi_action,6,nan
candidate,0.450000,input_1,2,0.004373,33.215913,0.999590,0.000025,0.000022,0.000048,0.000008,25.055232,16.607956,0.008199,0.152934,2405.523196,780.397825,0.000000,0.000000,3224.341135,False,True,True,,-0.000240,-0.000236,-0.050000,-0.049998,-0.050021,155,multi_action,6,nan
candidate,0.450000,input_2,1,0.000027,-25.002365,1.351471,0.000048,0.000024,0.000048,0.000008,0.154102,-12.501183,7.029420,0.160974,0.000000,0.000000,0.000000,0.000000,-8.009002,True,True,True,,-0.000096,-0.000118,0.000000,-0.000048,-0.000096,133,multi_action,6,nan
candidate,0.450000,input_2,2,0.000039,inf,0.000000,0.000000,inf,inf,inf,0.225500,inf,inf,inf,0.000000,inf,inf,0.000000,inf,False,False,False,reference step too small,-0.000096,-0.000048,0.000000,-0.000048,-0.000048,135,multi_action,6,nan
candidate,0.450000,input_3,1,0.004471,42.863432,1.000832,0.000103,0.000050,0.000240,0.000037,25.615363,21.431716,0.016633,0.555614,2461.536327,1021.585810,0.000000,1000.000000,4526.164839,False,True,True,,-0.000096,-0.000048,0.050000,0.049950,0.049943,152,multi_action,6,nan
candidate,0.450000,input_3,2,0.004455,33.464131,0.999317,0.000092,0.000035,0.000096,0.000011,25.525439,16.732065,0.013660,0.260367,2452.543854,786.603271,0.000000,1000.000000,4278.191815,False,True,True,,-0.000144,-0.000163,0.050000,0.049998,0.050050,154,multi_action,6,nan
candidate,0.550000,input_1,1,0.003827,34.511286,1.000447,0.000046,0.000046,0.000096,0.000011,21.929698,17.255643,0.008930,0.298578,2092.969826,812.782147,0.000000,0.000000,2941.637707,False,True,True,,-0.000144,-0.000168,-0.050000,-0.049902,-0.049952,152,multi_action,6,nan
candidate,0.550000,input_1,2,0.003803,34.538061,1.000136,0.000082,0.000050,0.000144,0.000021,21.790700,17.269030,0.002728,0.396066,2079.070031,813.451513,0.000000,1000.000000,3928.326184,False,True,True,,-0.000048,-0.000047,-0.050000,-0.049902,-0.049917,152,multi_action,6,nan
candidate,0.550000,input_2,1,0.000044,-21.776481,1.079551,0.000096,0.000042,0.000096,0.000017,0.249237,-10.888240,1.591019,0.302521,0.000000,0.000000,0.000000,1000.000000,992.087660,True,True,True,,-0.000048,-0.000062,0.000000,0.000048,0.000048,134,multi_action,6,nan
candidate,0.550000,input_2,2,0.000048,inf,0.000000,0.000000,inf,inf,inf,0.274658,inf,inf,inf,0.000000,inf,inf,0.000000,inf,False,False,False,reference step too small,0.000000,0.000048,0.000000,0.000000,0.000048,1,multi_action,6,nan
candidate,0.550000,input_3,1,0.003799,34.658180,1.001480,0.000165,0.000013,0.000048,0.000011,21.764781,17.329090,0.029607,0.132501,2076.478078,816.454489,0.000000,1000.000000,3928.634271,False,False,True,,-0.000096,-0.000048,0.050000,0.050094,0.050072,155,multi_action,6,nan
candidate,0.550000,input_3,2,0.003861,26.435602,1.000406,0.000100,0.000019,0.000048,0.000011,22.119309,13.217801,0.008124,0.154444,2111.930851,610.890043,0.000000,1000.000000,3755.593696,False,True,True,,-0.000048,-0.000044,0.050000,0.049950,0.049946,153,multi_action,6,nan
candidate,0.420000,input_1,1,0.004598,33.044660,1.000339,0.000061,0.000027,0.000096,0.000013,26.344976,16.522330,0.006782,0.241188,2534.497597,776.116489,0.000000,1000.000000,4350.299216,False,True,True,,-0.000096,-0.000081,-0.050000,-0.049998,-0.050033,154,multi_action,6,1955.356838
candidate,0.420000,input_1,2,0.004602,43.192395,0.998337,0.000028,0.000033,0.000096,0.000011,26.367261,21.596197,0.033252,0.254640,2536.726136,1029.809866,0.000000,0.000000,3610.315854,False,True,True,,-0.000144,-0.000090,-0.050000,-0.050094,-0.050066,153,multi_action,6,1955.356838
candidate,0.420000,input_2,1,0.000033,-23.801912,-1.119799,0.000048,0.000036,0.000096,0.000017,0.187415,-11.900956,42.395977,0.282987,0.000000,0.000000,174.298850,0.000000,175.705989,False,False,True,,-0.000240,-0.000217,0.000000,-0.000240,-0.000240,135,multi_action,6,1955.356838
candidate,0.420000,input_2,2,0.000042,-35.493027,-0.351852,0.000048,0.000020,0.000048,0.000008,0.241070,-17.746513,27.037037,0.148859,0.000000,0.000000,109.629630,0.000000,102.507177,False,False,True,,-0.000144,-0.000240,0.000000,-0.000144,-0.000144,135,multi_action,6,1955.356838
candidate,0.420000,input_3,1,0.004658,43.286158,1.000625,0.000110,0.000022,0.000048,0.000011,26.686233,21.643079,0.012506,0.161827,2568.623348,1032.153961,0.000000,1000.000000,4644.862046,False,True,True,,-0.000144,-0.000144,0.050000,0.050046,0.050032,153,multi_action,6,1955.356838
candidate,0.420000,input_3,2,0.004677,34.383922,1.000186,0.000114,0.000054,0.000144,0.000026,26.797010,17.191961,0.003728,0.425664,2579.700978,809.598055,0.000000,1000.000000,4430.063376,False,True,True,,-0.000240,-0.000224,0.050000,0.050046,0.049932,153,multi_action,6,1955.356838
candidate,0.580000,input_1,1,0.003594,26.020226,1.001718,0.000064,0.000019,0.000048,0.000011,20.591459,13.010113,0.034363,0.154444,1959.145881,600.505645,0.000000,1000.000000,3590.736888,False,True,True,,-0.000096,-0.000152,-0.050000,-0.049950,-0.049934,153,multi_action,6,nan
candidate,0.580000,input_1,2,0.003661,33.412261,1.000024,0.000049,0.000000,0.000000,0.000000,20.976599,16.706130,0.000478,0.000000,1997.659943,785.306524,0.000000,0.000000,2817.308090,False,True,True,,-0.000144,-0.000144,-0.050000,-0.050046,-0.050045,153,multi_action,6,nan
candidate,0.580000,input_2,1,0.000048,-39.862770,0.000000,0.000096,0.000000,0.000000,0.000000,0.275054,-19.931385,20.000000,0.000000,0.000000,0.000000,80.000000,1000.000000,1069.329946,False,False,True,,-0.000240,-0.000227,0.000000,-0.000240,-0.000240,137,multi_action,6,nan
candidate,0.580000,input_2,2,0.000016,inf,0.000000,0.000000,inf,inf,inf,0.091894,inf,inf,inf,0.000000,inf,inf,0.000000,inf,False,False,False,reference step too small,-0.000240,-0.000240,0.000000,-0.000240,-0.000240,134,multi_action,6,nan
candidate,0.580000,input_3,1,0.003697,34.794048,1.000192,0.000161,0.000034,0.000096,0.000014,21.179940,17.397024,0.003832,0.265171,2017.993956,819.851206,0.000000,1000.000000,3873.076265,False,False,True,,-0.000240,-0.000240,0.050000,0.050142,0.050077,152,multi_action,6,nan
candidate,0.580000,input_3,2,0.003721,26.557506,0.999727,0.000190,0.000074,0.000192,0.000032,21.318099,13.278753,0.005457,0.566782,2031.809907,613.937641,0.000000,1000.000000,3677.973405,False,False,True,,-0.000144,-0.000156,0.050000,0.050094,0.050048,153,multi_action,6,nan
candidate,0.470000,input_1,1,0.004245,33.839292,0.998624,0.000043,0.000043,0.000096,0.000019,24.324049,16.919646,0.027528,0.312423,2332.404859,795.982306,0.000000,0.000000,3166.410024,False,True,True,,-0.000144,-0.000092,-0.050000,-0.050046,-0.050003,154,multi_action,6,nan
candidate,0.470000,input_1,2,0.004225,34.621640,1.002501,0.000131,0.000064,0.000192,0.000021,24.205848,17.310820,0.050027,0.493660,2320.584758,815.540998,0.000000,1000.000000,4174.439597,False,True,True,,0.000000,-0.000118,-0.050000,-0.049950,-0.050059,156,multi_action,6,nan
candidate,0.470000,input_2,1,0.000054,-26.862108,-0.538603,0.000144,0.000057,0.000144,0.000022,0.310598,-13.431054,30.772059,0.424459,0.000000,0.000000,125.356037,1000.000000,1122.827036,False,False,True,,-0.000096,-0.000149,0.000000,-0.000096,-0.000096,135,multi_action,6,nan
candidate,0.470000,input_2,2,0.000015,inf,0.000000,0.000000,inf,inf,inf,0.088778,inf,inf,inf,0.000000,inf,inf,0.000000,inf,False,False,False,reference step too small,-0.000096,-0.000096,0.000000,-0.000144,-0.000096,134,multi_action,6,nan
candidate,0.470000,input_3,1,0.004334,42.264518,1.000791,0.000058,0.000024,0.000048,0.000011,24.831383,21.132259,0.015829,0.169790,2383.138292,1006.612951,0.000000,1000.000000,4431.577285,False,True,True,,-0.000144,-0.000144,0.050000,0.050046,0.050036,154,multi_action,6,nan
