role,kp,action_label,rmse_rad,phase_lag_deg,amplitude_ratio,overshoot_rad,tail_std_rad,tail_peak_to_peak_rad,tail_diff_rms_rad,rmse_term,phase_lag_term,amplitude_ratio_term,smoothness_term,rmse_penalty,phase_lag_penalty,amplitude_ratio_penalty,overshoot_penalty,search_cost,search_cost_std,repeat_count,strict_ok,expand_safe,stable_ok,note,raw_trial_count,display_action_label,display_repeat_index,display_initial_position_rad,display_initial_reference_position_rad,display_target_position_rad,display_final_position_rad,display_final_reference_position_rad,display_sample_count
baseline,0.500000,multi_action,0.002748,11.977798,0.560237,0.000099,0.000040,0.000136,0.000022,15.746812,5.988899,8.804047,0.359201,1503.140707,537.151248,35.636590,1000.000000,2765.513755,1884.309862,6,False,False,True,aggregated_from_multi_actions,6,input_2,2,-0.000144,-0.000097,0.000000,-0.000144,-0.000144,134
candidate,0.450000,multi_action,0.002957,inf,0.891797,0.000063,inf,inf,inf,16.940358,inf,inf,inf,1621.042417,inf,inf,1000.000000,inf,nan,6,False,False,False,aggregated_from_multi_actions,6,input_1,2,-0.000240,-0.000236,-0.050000,-0.049998,-0.050021,155
candidate,0.550000,multi_action,0.002564,inf,0.847003,0.000082,inf,inf,inf,14.688064,inf,inf,inf,1393.408131,inf,inf,1000.000000,inf,nan,6,False,False,False,aggregated_from_multi_actions,6,input_1,1,-0.000144,-0.000168,-0.050000,-0.049902,-0.049952,152
candidate,0.420000,multi_action,0.003102,15.768699,0.421306,0.000068,0.000032,0.000088,0.000014,17.770661,7.884350,11.581547,0.252527,1703.258010,607.946395,47.321413,1000.000000,2885.625609,1955.356838,6,False,False,True,aggregated_from_multi_actions,6,input_2,2,-0.000144,-0.000240,0.000000,-0.000144,-0.000144,135
candidate,0.580000,multi_action,0.002456,inf,0.666943,0.000093,inf,inf,inf,14.072174,inf,inf,inf,1334.434948,inf,inf,1000.000000,inf,nan,6,False,False,False,aggregated_from_multi_actions,6,input_1,2,-0.000144,-0.000144,-0.050000,-0.050046,-0.050045,153
candidate,0.470000,multi_action,0.002867,inf,0.577142,0.000081,inf,inf,inf,16.425944,inf,inf,inf,1569.271448,inf,inf,1000.000000,inf,nan,6,False,False,False,aggregated_from_multi_actions,6,input_1,1,-0.000144,-0.000092,-0.050000,-0.050046,-0.050003,154
best_candidate,0.530000,multi_action,0.002628,6.149880,0.721799,0.000098,0.000025,0.000064,0.000011,15.057987,3.074940,5.568739,0.189315,1429.262232,391.893858,22.004641,1000.000000,2695.498846,1173.802262,6,False,False,True,aggregated_from_multi_actions,6,input_2,2,-0.000144,-0.000192,0.000000,-0.000144,-0.000144,136
