role,kp,action_label,rmse_rad,phase_lag_deg,amplitude_ratio,overshoot_rad,tail_std_rad,tail_peak_to_peak_rad,tail_diff_rms_rad,rmse_term,phase_lag_term,amplitude_ratio_term,smoothness_term,rmse_penalty,phase_lag_penalty,amplitude_ratio_penalty,overshoot_penalty,search_cost,search_cost_std,repeat_count,strict_ok,expand_safe,stable_ok,note,raw_trial_count,display_action_label,display_repeat_index,display_initial_position_rad,display_initial_reference_position_rad,display_target_position_rad,display_final_position_rad,display_final_reference_position_rad,display_sample_count
baseline,0.100000,multi_action,0.007690,71.910207,0.639978,0.000042,0.000072,0.000280,0.000036,44.058986,35.955104,7.200449,0.668672,4330.903188,1997.379244,28.691596,1000.000000,7765.264878,4756.864014,6,False,False,False,aggregated_from_multi_actions,6,input_2,2,0.000192,0.000214,0.000000,0.000192,0.000192,134
candidate,0.090000,multi_action,0.008162,80.672253,0.746357,0.000047,0.000112,0.000447,0.000055,46.762878,40.336127,5.072864,1.053913,4598.543155,2193.236104,19.648992,1000.000000,8392.255204,5543.725842,6,False,False,False,aggregated_from_multi_actions,6,input_2,1,0.000096,0.000192,0.000000,0.000048,0.000096,134
candidate,0.110000,multi_action,0.007277,inf,0.566884,0.000059,inf,inf,inf,41.693552,inf,inf,inf,4086.050122,inf,inf,1000.000000,inf,nan,6,False,False,False,aggregated_from_multi_actions,6,input_1,2,0.000288,0.000310,-0.050000,-0.049854,-0.049922,152
