role,kp,action_label,repeat_index,rmse_rad,phase_lag_deg,amplitude_ratio,overshoot_rad,tail_std_rad,tail_peak_to_peak_rad,tail_diff_rms_rad,rmse_term,phase_lag_term,amplitude_ratio_term,smoothness_term,rmse_penalty,phase_lag_penalty,amplitude_ratio_penalty,overshoot_penalty,search_cost,strict_ok,expand_safe,stable_ok,note,initial_position_rad,initial_reference_position_rad,target_position_rad,final_position_rad,final_reference_position_rad,sample_count,summary_action_label,summary_repeat_count,summary_search_cost_std
baseline,0.300000,input_1,1,0.005760,42.590435,0.998709,0.000073,0.000038,0.000144,0.000017,33.003457,21.295218,0.025817,0.343902,3200.345746,1014.760876,0.000000,1000.000000,5265.324658,False,True,True,,0.000000,0.000048,-0.050000,-0.049998,-0.050069,154,multi_action,6,2312.314225
baseline,0.300000,input_1,2,0.005838,50.997706,0.999751,0.000064,0.000038,0.000144,0.000026,33.448783,25.498853,0.004975,0.372503,3244.878313,1224.942646,0.000000,1000.000000,5523.856319,False,True,True,,0.000144,0.000142,-0.050000,-0.049998,-0.050030,152,multi_action,6,2312.314225
baseline,0.300000,input_2,1,0.000058,-26.328923,0.282545,0.000048,0.000039,0.000192,0.000020,0.331608,-13.164461,14.349100,0.411175,0.000000,0.000000,56.206737,0.000000,49.799639,False,False,True,,0.000048,0.000111,0.000000,0.000192,0.000048,133,multi_action,6,2312.314225
baseline,0.300000,input_2,2,0.000062,-28.824330,0.234701,0.000192,0.000037,0.000096,0.000019,0.353397,-14.412165,15.305982,0.292086,0.000000,0.000000,60.235716,1000.000000,1053.031919,False,False,True,,0.000048,0.000033,0.000000,0.000048,0.000048,135,multi_action,6,2312.314225
baseline,0.300000,input_3,1,0.005761,51.888098,0.998979,0.000092,0.000021,0.000096,0.000019,33.007964,25.944049,0.020412,0.240511,3200.796358,1247.202445,0.000000,1000.000000,5501.887364,False,True,True,,0.000192,0.000192,0.050000,0.049902,0.049907,155,multi_action,6,2312.314225
baseline,0.300000,input_3,2,0.005814,51.830663,1.000362,0.000066,0.000000,0.000000,0.000000,33.308920,25.915332,0.007240,0.000000,3230.892022,1245.766585,0.000000,1000.000000,5530.701602,False,True,True,,0.000048,0.000048,0.050000,0.050094,0.050076,153,multi_action,6,2312.314225
candidate,0.270000,input_1,1,0.006218,52.599781,1.000995,0.000154,0.000024,0.000048,0.000008,35.624390,26.299891,0.019909,0.158420,3462.439001,1264.994527,0.000000,1000.000000,5784.182017,False,False,True,,0.000096,0.000034,-0.050000,-0.049998,-0.049988,153,multi_action,6,nan
candidate,0.270000,input_1,2,0.006222,51.284773,0.997802,0.000031,0.000089,0.000192,0.000019,35.649612,25.642387,0.043960,0.572452,3464.961213,1232.119336,0.000000,0.000000,4753.541286,False,True,True,,-0.000096,-0.000045,-0.050000,-0.049854,-0.050015,153,multi_action,6,nan
candidate,0.270000,input_2,1,0.000044,inf,0.000000,0.000000,inf,inf,inf,0.250858,inf,inf,inf,0.000000,inf,inf,0.000000,inf,False,False,False,reference step too small,0.000000,-0.000044,0.000000,0.000000,-0.000044,1,multi_action,6,nan
candidate,0.270000,input_2,2,0.000061,-24.927501,-0.222222,0.000144,0.000071,0.000144,0.000025,0.350323,-12.463750,24.444444,0.481257,0.000000,0.000000,98.713450,1000.000000,1095.444512,False,False,True,,0.000048,-0.000096,0.000000,-0.000048,0.000048,134,multi_action,6,nan
candidate,0.270000,input_3,1,0.006266,50.994766,0.999509,0.000045,0.000023,0.000048,0.000008,35.902911,25.497383,0.009828,0.155836,3490.291117,1224.869152,0.000000,0.000000,4771.541461,False,True,True,,-0.000048,-0.000048,0.050000,0.050046,0.050097,154,multi_action,6,nan
candidate,0.270000,input_3,2,0.006246,50.240243,0.997085,0.000073,0.000000,0.000000,0.000000,35.784721,25.120122,0.058292,0.000000,3478.472115,1206.006079,0.000000,1000.000000,5740.373585,False,True,True,,0.000144,0.000021,0.050000,0.050046,0.050069,155,multi_action,6,nan
candidate,0.330000,input_1,1,0.005444,50.675254,0.998617,0.000070,0.000019,0.000048,0.000008,31.193250,25.337627,0.027651,0.143707,3019.324996,1216.881355,0.000000,1000.000000,5287.748469,False,True,True,,0.000000,0.000080,-0.050000,-0.050046,-0.050072,156,multi_action,6,nan
candidate,0.330000,input_1,2,0.005436,43.100520,0.998913,0.000086,0.000082,0.000336,0.000054,31.145722,21.550260,0.021732,0.827679,3014.572196,1027.513003,0.000000,1000.000000,7090.890401,False,False,False,,0.000096,0.000120,-0.050000,-0.049950,-0.049912,152,multi_action,6,nan
candidate,0.330000,input_2,1,0.000059,-23.598843,-0.551857,0.000096,0.000031,0.000144,0.000020,0.338988,-11.799422,31.037149,0.329594,0.000000,0.000000,126.472208,1000.000000,1125.295743,False,False,True,,-0.000096,-0.000032,0.000000,-0.000048,-0.000048,134,multi_action,6,nan
candidate,0.330000,input_2,2,0.000048,inf,0.000000,0.000000,inf,inf,inf,0.274658,inf,inf,inf,0.000000,inf,inf,0.000000,inf,False,False,False,reference step too small,0.000000,-0.000048,0.000000,0.000000,-0.000048,1,multi_action,6,nan
candidate,0.330000,input_3,1,0.005432,42.802323,1.001588,0.000259,0.000079,0.000336,0.000053,31.124638,21.401162,0.031759,0.810548,3012.463760,1020.058078,0.000000,1000.000000,7081.180619,False,False,False,,-0.000048,0.000000,0.050000,0.050046,0.049931,154,multi_action,6,nan
candidate,0.330000,input_3,2,0.005432,43.537211,1.000933,0.000169,0.000031,0.000096,0.000017,31.125442,21.768605,0.018660,0.267815,3012.544225,1038.430273,0.000000,1000.000000,5099.653398,False,False,True,,-0.000048,-0.000014,0.050000,0.049902,0.049973,153,multi_action,6,nan
candidate,0.220000,input_1,1,0.007114,60.149420,1.000561,0.000065,0.000024,0.000048,0.000008,40.761315,30.074710,0.011214,0.157782,3976.131499,1453.735507,0.000000,1000.000000,6494.769784,False,True,True,,0.000048,0.000061,-0.050000,-0.049950,-0.049933,153,multi_action,6,nan
candidate,0.220000,input_1,2,0.007143,69.091556,0.997866,0.000064,0.000018,0.000048,0.000011,40.929212,34.545778,0.042675,0.151242,3992.921234,1677.288901,0.000000,1000.000000,6738.862260,False,True,True,,-0.000048,0.000075,-0.050000,-0.050094,-0.050078,153,multi_action,6,nan
candidate,0.220000,input_2,1,0.000011,inf,0.000000,0.000000,inf,inf,inf,0.064608,inf,inf,inf,0.000000,inf,inf,0.000000,inf,False,False,False,reference step too small,0.000000,-0.000011,0.000000,0.000000,-0.000011,1,multi_action,6,nan
candidate,0.220000,input_2,2,0.000000,inf,0.000000,0.000000,inf,inf,inf,0.000000,inf,inf,inf,0.000000,inf,inf,0.000000,inf,False,False,False,reference step too small,0.000000,0.000000,0.000000,0.000000,0.000000,1,multi_action,6,nan
candidate,0.220000,input_3,1,0.007165,57.841017,1.000096,0.000142,0.000043,0.000144,0.000016,41.054898,28.920508,0.001924,0.355792,4005.489771,1396.025419,0.000000,1000.000000,6465.884871,False,True,True,,0.000000,0.000000,0.050000,0.049902,0.049904,153,multi_action,6,nan
candidate,0.220000,input_3,2,0.007151,59.952022,0.997626,0.000128,0.000000,0.000000,0.000000,40.970579,29.976011,0.047490,0.000000,3997.057902,1448.800546,0.000000,1000.000000,6510.821708,False,True,True,,0.000048,-0.000007,0.050000,0.049998,0.050062,153,multi_action,6,nan
candidate,0.380000,input_1,1,0.004871,44.335833,1.003090,0.000046,0.000043,0.000144,0.000017,27.908263,22.167917,0.061796,0.361211,2690.826321,1058.395837,0.000000,0.000000,3795.060809,False,True,True,,0.000240,0.000131,-0.050000,-0.049950,-0.049904,155,multi_action,6,nan
candidate,0.380000,input_1,2,0.004931,35.546471,1.001810,0.000152,0.000044,0.000096,0.000016,28.250637,17.773236,0.036191,0.306662,2725.063733,838.661782,0.000000,1000.000000,4606.357120,False,False,True,,0.000192,0.000128,-0.050000,-0.049998,-0.050038,154,multi_action,6,nan
candidate,0.380000,input_2,1,0.000063,-25.970246,0.183753,0.000048,0.000035,0.000096,0.000019,0.361445,-12.985123,16.324944,0.284608,0.000000,0.000000,64.526081,0.000000,58.722968,False,False,True,,0.000048,0.000096,0.000000,0.000048,0.000048,134,multi_action,6,nan
candidate,0.380000,input_2,2,0.000073,inf,0.000000,0.000000,inf,inf,inf,0.416204,inf,inf,inf,0.000000,inf,inf,0.000000,inf,False,False,False,reference step too small,0.000048,0.000048,0.000000,0.000096,0.000048,135,multi_action,6,nan
candidate,0.380000,input_3,1,0.004919,43.088340,1.000425,0.000182,0.000037,0.000096,0.000011,28.186331,21.544170,0.008506,0.265278,2718.633119,1027.208506,0.000000,1000.000000,4791.398057,False,False,True,,0.000048,0.000096,0.050000,0.049854,0.049912,154,multi_action,6,nan
candidate,0.380000,input_3,2,0.004921,42.742264,1.000456,0.000173,0.000043,0.000096,0.000016,28.194309,21.371132,0.009129,0.302179,2719.430943,1018.556590,0.000000,1000.000000,4783.432120,False,False,True,,0.000048,0.000075,0.050000,0.049854,0.049921,153,multi_action,6,nan
candidate,0.270750,input_1,1,0.006202,51.275323,1.000172,0.000129,0.000028,0.000096,0.000011,35.533312,25.637662,0.003430,0.236663,3453.331230,1231.883086,0.000000,1000.000000,5741.376946,False,True,True,,0.000000,0.000011,-0.050000,-0.049854,-0.049917,152,multi_action,6,nan
candidate,0.270750,input_1,2,0.006224,51.804413,0.999076,0.000096,0.000056,0.000192,0.000019,35.660336,25.902207,0.018472,0.464124,3466.033555,1245.110332,0.000000,1000.000000,5767.762668,False,True,True,,-0.000096,-0.000039,-0.050000,-0.050142,-0.050046,156,multi_action,6,nan
candidate,0.270750,input_2,1,0.000056,-43.937677,-2.539497,0.000240,0.000018,0.000048,0.000008,0.322011,-21.968839,70.789949,0.141994,0.000000,0.000000,293.852417,1000.000000,1294.367842,False,False,True,,0.000144,0.000129,0.000000,0.000144,0.000144,135,multi_action,6,nan
candidate,0.270750,input_2,2,0.000070,inf,0.000000,0.000000,inf,inf,inf,0.401258,inf,inf,inf,0.000000,inf,inf,0.000000,inf,False,False,False,reference step too small,0.000096,0.000144,0.000000,0.000048,0.000144,134,multi_action,6,nan
candidate,0.270750,input_3,1,0.006152,52.490897,1.000380,0.000163,0.000000,0.000000,0.000000,35.246593,26.245448,0.007592,0.000000,3424.659332,1262.272423,0.000000,1000.000000,5743.176606,False,False,True,,0.000048,0.000048,0.050000,0.049998,0.049979,155,multi_action,6,nan
candidate,0.270750,input_3,2,0.006277,58.877672,0.999154,0.000099,0.000018,0.000048,0.000011,35.966429,29.438836,0.016911,0.151242,3496.642934,1421.941801,0.000000,1000.000000,5978.182082,False,True,True,,0.000000,-0.000002,0.050000,0.049998,0.049995,153,multi_action,6,nan
