role,kp,action_label,rmse_rad,phase_lag_deg,amplitude_ratio,overshoot_rad,tail_std_rad,tail_peak_to_peak_rad,tail_diff_rms_rad,rmse_term,phase_lag_term,amplitude_ratio_term,smoothness_term,rmse_penalty,phase_lag_penalty,amplitude_ratio_penalty,overshoot_penalty,search_cost,search_cost_std,repeat_count,strict_ok,expand_safe,stable_ok,note,raw_trial_count,display_action_label,display_repeat_index,display_initial_position_rad,display_initial_reference_position_rad,display_target_position_rad,display_final_position_rad,display_final_reference_position_rad,display_sample_count
baseline,0.300000,multi_action,0.003882,23.692275,0.752508,0.000089,0.000029,0.000112,0.000017,22.242355,11.846137,4.952254,0.276696,2146.152073,788.778759,19.407075,1000.000000,3820.766917,2312.314225,6,False,False,True,aggregated_from_multi_actions,6,input_2,1,0.000048,0.000111,0.000000,0.000192,0.000048,133
candidate,0.270000,multi_action,0.004176,inf,0.628862,0.000074,inf,inf,inf,23.927136,inf,inf,inf,2316.027241,inf,inf,1000.000000,inf,nan,6,False,False,False,aggregated_from_multi_actions,6,input_3,1,-0.000048,-0.000048,0.050000,0.050046,0.050097,154
candidate,0.330000,multi_action,0.003642,inf,0.574699,0.000113,inf,inf,inf,20.867116,inf,inf,inf,2009.817530,inf,inf,1000.000000,inf,nan,6,False,False,False,aggregated_from_multi_actions,6,input_3,2,-0.000048,-0.000014,0.050000,0.049902,0.049973,153
candidate,0.220000,multi_action,0.004764,inf,0.666025,0.000067,inf,inf,inf,27.296769,inf,inf,inf,2661.933401,inf,inf,1000.000000,inf,nan,6,False,False,False,aggregated_from_multi_actions,6,input_3,1,0.000000,0.000000,0.050000,0.049902,0.049904,153
candidate,0.380000,multi_action,0.003296,inf,0.698256,0.000100,inf,inf,inf,18.886198,inf,inf,inf,1808.992353,inf,inf,1000.000000,inf,nan,6,False,False,False,aggregated_from_multi_actions,6,input_1,1,0.000240,0.000131,-0.050000,-0.049950,-0.049904,155
candidate,0.270750,multi_action,0.004163,inf,0.243214,0.000121,inf,inf,inf,23.854990,inf,inf,inf,2306.777842,inf,inf,1000.000000,inf,nan,6,False,False,False,aggregated_from_multi_actions,6,input_1,1,0.000000,0.000011,-0.050000,-0.049854,-0.049917,152
candidate,0.271500,multi_action,0.004157,inf,0.726020,0.000116,inf,inf,inf,23.820089,inf,inf,inf,2301.503286,inf,inf,1000.000000,inf,nan,6,False,False,False,aggregated_from_multi_actions,6,input_3,1,0.000000,0.000000,0.050000,0.050094,0.050039,154
