role,kp,action_label,repeat_index,rmse_rad,phase_lag_deg,amplitude_ratio,overshoot_rad,tail_std_rad,tail_peak_to_peak_rad,tail_diff_rms_rad,rmse_term,phase_lag_term,amplitude_ratio_term,smoothness_term,rmse_penalty,phase_lag_penalty,amplitude_ratio_penalty,overshoot_penalty,search_cost,strict_ok,expand_safe,stable_ok,note,initial_position_rad,initial_reference_position_rad,target_position_rad,final_position_rad,final_reference_position_rad,sample_count,summary_action_label,summary_repeat_count,summary_search_cost_std
baseline,0.200000,input_1,1,0.007295,59.544416,0.999897,0.000108,0.000024,0.000048,0.000008,41.797303,29.772208,0.002062,0.159053,4079.730300,1438.610395,0.000000,1000.000000,6584.035806,False,True,True,,-0.001150,-0.001055,-0.050000,-0.050190,-0.050082,153,multi_action,6,1724.015421
baseline,0.200000,input_1,2,0.007189,69.309219,1.000261,0.000091,0.000024,0.000048,0.000008,41.190370,34.654610,0.005218,0.157782,4019.036961,1682.730481,0.000000,1000.000000,6770.761695,False,True,True,,-0.001294,-0.001240,-0.050000,-0.050046,-0.050003,154,multi_action,6,1724.015421
baseline,0.200000,input_2,1,0.000281,61.681041,1.122430,0.000346,0.000130,0.000336,0.000022,1.612324,30.840521,2.448602,0.878527,61.232422,1492.026025,0.000000,1000.000000,4580.594602,False,False,False,,-0.001294,-0.001287,0.000000,0.000000,-0.000010,135,multi_action,6,1724.015421
baseline,0.200000,input_2,2,0.000249,41.756848,1.073679,0.000066,0.000021,0.000048,0.000008,1.424126,20.878424,1.473574,0.151574,42.412640,993.921196,0.000000,1000.000000,2054.904882,False,True,True,,-0.001198,-0.001164,0.000000,0.000000,-0.000018,136,multi_action,6,1724.015421
baseline,0.200000,input_3,1,0.000313,92.739539,1.007188,0.000000,0.000000,0.000000,0.000000,1.794205,46.369770,0.143761,0.000000,79.420467,2268.488479,0.000000,0.000000,2386.834907,False,True,True,,-0.001294,-0.001285,0.050000,0.000000,-0.000000,137,multi_action,6,1724.015421
baseline,0.200000,input_3,2,0.000283,85.141180,1.001967,0.000288,0.000094,0.000288,0.000020,1.622210,42.570590,0.039340,0.701997,62.221038,2078.529511,0.000000,1000.000000,3176.790065,False,False,True,,-0.001150,-0.001220,0.050000,-0.000048,-0.000000,136,multi_action,6,1724.015421
candidate,0.180000,input_1,1,0.007767,71.490048,0.999365,0.000000,0.000000,0.000000,0.000000,44.501890,35.745024,0.012705,0.000000,4350.189000,1737.251212,0.000000,0.000000,6160.541297,False,True,True,,-0.001342,-0.001329,-0.050000,-0.049998,-0.050016,152,multi_action,6,1555.680594
candidate,0.180000,input_1,2,0.007835,66.975091,1.000640,0.000051,0.000000,0.000000,0.000000,44.892967,33.487545,0.012806,0.000000,4389.296668,1624.377271,0.000000,1000.000000,7085.360144,False,True,True,,-0.001342,-0.001322,-0.050000,-0.050142,-0.050091,153,multi_action,6,1555.680594
candidate,0.180000,input_2,1,0.000349,100.820578,0.984064,0.000044,0.000020,0.000048,0.000008,2.000812,50.410289,0.318711,0.148859,100.081198,2470.514458,0.000000,0.000000,2613.078807,False,True,True,,-0.001294,-0.001345,0.000000,-0.000048,-0.000044,136,multi_action,6,1555.680594
candidate,0.180000,input_2,2,0.000308,93.321338,1.018001,0.000346,0.000108,0.000288,0.000029,1.766557,46.660669,0.360022,0.775732,76.655695,2283.033460,0.000000,1000.000000,5399.262119,False,False,False,,-0.001198,-0.001265,0.000000,0.000000,-0.000059,136,multi_action,6,1555.680594
candidate,0.180000,input_3,1,0.000350,93.117745,1.072895,0.000144,0.000042,0.000144,0.000014,2.004543,46.558873,1.457896,0.347779,100.454257,2277.943636,0.000000,1000.000000,3418.187897,False,True,True,,-0.001390,-0.001345,0.050000,0.000000,-0.000000,136,multi_action,6,1555.680594
candidate,0.180000,input_3,2,0.000294,94.195350,1.044932,0.000048,0.000015,0.000048,0.000008,1.684860,47.097675,0.898650,0.131505,68.486018,2304.883759,0.000000,0.000000,2413.023193,False,True,True,,-0.001342,-0.001291,0.050000,0.000048,-0.000000,138,multi_action,6,1555.680594
candidate,0.220000,input_1,1,0.006869,57.275912,1.001684,0.000114,0.000020,0.000048,0.000008,39.353609,28.637956,0.033671,0.147466,3835.360944,1381.897795,0.000000,1000.000000,6279.604864,False,True,True,,-0.001342,-0.001324,-0.050000,-0.049998,-0.049932,152,multi_action,6,1695.255806
candidate,0.220000,input_1,2,0.006809,61.169590,1.000116,0.000084,0.000021,0.000048,0.000011,39.011277,30.584795,0.002321,0.160777,3801.127715,1479.239761,0.000000,1000.000000,6343.927558,False,True,True,,-0.001342,-0.001296,-0.050000,-0.050046,-0.050010,152,multi_action,6,1695.255806
candidate,0.220000,input_2,1,0.000293,85.863259,1.062042,0.000088,0.000018,0.000096,0.000012,1.679825,42.931629,1.240841,0.205496,67.982514,2096.581468,0.000000,1000.000000,3201.002069,False,True,True,,-0.001294,-0.001307,0.000000,0.000000,-0.000088,136,multi_action,6,1695.255806
candidate,0.220000,input_2,2,0.000268,60.400578,0.985873,0.000058,0.000057,0.000144,0.000014,1.532943,30.200289,0.282549,0.395823,53.294275,1460.014438,0.000000,1000.000000,2539.270436,False,True,True,,-0.001342,-0.001328,0.000000,-0.000096,-0.000010,137,multi_action,6,1695.255806
candidate,0.220000,input_3,1,0.000299,84.593506,0.996080,0.000048,0.000024,0.000048,0.000008,1.711956,42.296753,0.078392,0.160529,71.195625,2064.837640,0.000000,0.000000,2171.682486,False,True,True,,-0.001294,-0.001317,0.050000,0.000000,-0.000000,137,multi_action,6,1695.255806
candidate,0.220000,input_3,2,0.000277,77.759960,0.952655,0.000336,0.000034,0.000096,0.000012,1.587853,38.879980,0.946893,0.260309,58.785284,1893.998992,0.000000,1000.000000,2985.842990,False,False,True,,-0.001198,-0.001208,0.050000,-0.000048,-0.000000,136,multi_action,6,1695.255806
candidate,0.140000,input_1,1,0.009069,93.910383,1.000670,0.000035,0.000017,0.000048,0.000008,51.959087,46.955191,0.013410,0.136837,5095.908726,2297.759575,0.000000,0.000000,7483.263312,False,True,True,,-0.001294,-0.001331,-0.050000,-0.050094,-0.050059,153,multi_action,6,2285.118765
