role,kp,action_label,rmse_rad,phase_lag_deg,amplitude_ratio,overshoot_rad,tail_std_rad,tail_peak_to_peak_rad,tail_diff_rms_rad,rmse_term,phase_lag_term,amplitude_ratio_term,smoothness_term,rmse_penalty,phase_lag_penalty,amplitude_ratio_penalty,overshoot_penalty,search_cost,search_cost_std,repeat_count,strict_ok,expand_safe,stable_ok,note,raw_trial_count,display_action_label,display_repeat_index,display_initial_position_rad,display_initial_reference_position_rad,display_target_position_rad,display_final_position_rad,display_final_reference_position_rad,display_sample_count
baseline,0.200000,multi_action,0.002602,68.362041,1.034237,0.000150,0.000049,0.000128,0.000011,14.906756,34.181020,0.685426,0.341489,1390.675638,1659.051014,0.000000,1000.000000,4258.986993,1724.015421,6,False,False,False,aggregated_from_multi_actions,6,input_3,1,-0.001294,-0.001285,0.050000,0.000000,-0.000000,137
candidate,0.180000,multi_action,0.002817,86.653359,1.019983,0.000106,0.000031,0.000088,0.000010,16.141938,43.326679,0.510132,0.233979,1514.193806,2116.333966,0.000000,1000.000000,4514.908910,1555.680594,6,False,False,False,aggregated_from_multi_actions,6,input_3,2,-0.001342,-0.001291,0.050000,0.000048,-0.000000,138
candidate,0.220000,multi_action,0.002469,71.177134,0.999742,0.000121,0.000029,0.000080,0.000011,14.146244,35.588567,0.430778,0.221733,1314.624393,1729.428349,0.000000,1000.000000,3920.221734,1695.255806,6,False,False,True,aggregated_from_multi_actions,6,input_3,1,-0.001294,-0.001317,0.050000,0.000000,-0.000000,137
candidate,0.140000,multi_action,0.003248,103.637807,1.018684,0.000107,0.000021,0.000064,0.000008,18.611713,51.818903,0.915223,0.168430,1761.171318,2540.945167,0.438332,1000.000000,4696.268007,2285.118765,6,False,False,True,aggregated_from_multi_actions,6,input_3,2,-0.001390,-0.001293,0.050000,0.000048,-0.000000,136
candidate,0.300000,multi_action,0.001999,51.738019,1.020395,0.000076,0.000027,0.000064,0.000008,11.453081,25.869010,0.420067,0.184888,1045.308074,1243.450478,0.000000,1000.000000,2987.770968,1333.191003,6,False,True,True,aggregated_from_multi_actions,6,input_2,2,-0.001342,-0.001285,0.000000,-0.000096,-0.000060,138
candidate,0.290000,multi_action,0.002056,56.481945,0.962151,0.000090,0.000036,0.000096,0.000011,11.781038,28.240972,0.756976,0.260436,1078.103756,1362.048616,1.541514,1000.000000,3309.720496,1383.754307,6,False,False,False,aggregated_from_multi_actions,6,input_3,2,-0.001294,-0.001296,0.050000,0.000000,-0.000000,137
candidate,0.270000,multi_action,0.002165,61.937431,0.987998,0.000096,0.000040,0.000120,0.000012,12.407392,30.968715,0.382922,0.309086,1140.739234,1498.435768,0.000000,1000.000000,3676.607640,2120.050793,6,False,False,False,aggregated_from_multi_actions,6,input_2,2,-0.001246,-0.001265,0.000000,-0.000096,-0.000084,137
best_candidate,0.330000,multi_action,0.001887,49.373441,0.982882,0.000098,0.000024,0.000064,0.000009,10.811435,24.686721,0.832954,0.181143,981.143473,1184.336032,1.035830,1000.000000,2530.708290,1184.573159,6,False,False,True,aggregated_from_multi_actions,6,input_3,1,-0.001294,-0.001226,0.050000,0.000000,-0.000000,138
candidate,0.324750,multi_action,0.001899,48.252892,1.005750,0.000149,0.000018,0.000048,0.000006,10.880927,24.126446,0.445495,0.136158,988.092700,1156.322294,0.000000,1000.000000,3008.109865,1400.203501,6,False,False,True,aggregated_from_multi_actions,6,input_3,1,-0.001246,-0.001220,0.050000,0.000000,-0.000000,136
