role,kp,action_label,rmse_rad,phase_lag_deg,amplitude_ratio,overshoot_rad,tail_std_rad,tail_peak_to_peak_rad,tail_diff_rms_rad,rmse_term,phase_lag_term,amplitude_ratio_term,smoothness_term,rmse_penalty,phase_lag_penalty,amplitude_ratio_penalty,overshoot_penalty,search_cost,search_cost_std,repeat_count,strict_ok,expand_safe,stable_ok,note,raw_trial_count,display_action_label,display_repeat_index,display_initial_position_rad,display_initial_reference_position_rad,display_target_position_rad,display_final_position_rad,display_final_reference_position_rad,display_sample_count
baseline,0.500000,multi_action,0.002593,9.605343,0.666418,0.000056,0.000019,0.000048,0.000007,14.856319,4.802672,6.676363,0.140079,1415.862933,431.467042,26.666667,1000.000000,2561.100895,1758.433222,6,False,False,True,aggregated_from_multi_actions,6,input_2,1,-0.000048,-0.000003,0.000000,-0.000048,-0.000048,136
candidate,0.450000,multi_action,0.002813,10.092031,0.996609,0.000065,0.000019,0.000064,0.000007,16.114884,5.046016,0.073700,0.158143,1537.713673,531.700401,0.000000,1000.000000,2589.663266,1848.055505,6,False,True,True,aggregated_from_multi_actions,6,input_2,2,0.000096,0.000048,0.000000,0.000144,0.000096,135
candidate,0.550000,multi_action,0.002404,inf,0.739567,0.000045,inf,inf,inf,13.776172,inf,inf,inf,1309.447875,inf,inf,1000.000000,inf,nan,6,False,False,False,aggregated_from_multi_actions,6,input_1,1,0.000048,0.000042,-0.050000,-0.049998,-0.049966,153
candidate,0.420000,multi_action,0.002944,inf,0.667497,0.000063,inf,inf,inf,16.869486,inf,inf,inf,1617.512873,inf,inf,1000.000000,inf,nan,6,False,False,False,aggregated_from_multi_actions,6,input_3,2,-0.000048,-0.000028,0.050000,0.049902,0.049956,153
candidate,0.580000,multi_action,0.002294,inf,0.666658,0.000055,inf,inf,inf,13.144709,inf,inf,inf,1247.618720,inf,inf,1000.000000,inf,nan,6,False,False,False,aggregated_from_multi_actions,6,input_1,1,0.000048,0.000038,-0.050000,-0.049998,-0.050059,154
candidate,0.470000,multi_action,0.002717,inf,0.666939,0.000043,inf,inf,inf,15.568104,inf,inf,inf,1486.506771,inf,inf,1000.000000,inf,nan,6,False,False,False,aggregated_from_multi_actions,6,input_3,2,0.000048,0.000068,0.050000,0.050094,0.050084,154
candidate,0.530000,multi_action,0.002489,inf,0.745483,0.000068,inf,inf,inf,14.259857,inf,inf,inf,1355.347618,inf,inf,1000.000000,inf,nan,6,False,False,False,aggregated_from_multi_actions,6,input_1,2,0.000048,-0.000078,-0.050000,-0.049998,-0.049965,152
