role,kp,action_label,repeat_index,rmse_rad,phase_lag_deg,amplitude_ratio,overshoot_rad,tail_std_rad,tail_peak_to_peak_rad,tail_diff_rms_rad,rmse_term,phase_lag_term,amplitude_ratio_term,smoothness_term,rmse_penalty,phase_lag_penalty,amplitude_ratio_penalty,overshoot_penalty,search_cost,strict_ok,expand_safe,stable_ok,note,initial_position_rad,initial_reference_position_rad,target_position_rad,final_position_rad,final_reference_position_rad,sample_count,summary_action_label,summary_repeat_count,summary_search_cost_std
baseline,0.400000,input_1,1,0.003237,40.277376,1.000026,0.000118,0.000072,0.000192,0.000024,18.545571,20.138688,0.000526,0.533009,1754.557102,956.934409,0.000000,1000.000000,3746.414668,False,True,True,,-0.000048,-0.000096,0.030000,0.030008,0.030083,111,multi_action,4,178.412765
baseline,0.400000,input_1,2,0.003153,42.864865,1.002661,0.000134,0.000028,0.000096,0.000020,18.062851,21.432433,0.053230,0.268847,1706.285132,1021.621630,0.000000,1000.000000,3763.263290,False,True,True,,-0.000192,-0.000168,0.030000,0.030008,0.029923,114,multi_action,4,178.412765
baseline,0.400000,input_2,1,0.003259,43.224696,0.999844,0.000066,0.000036,0.000096,0.000016,18.670518,21.612348,0.003114,0.279496,1767.051755,1030.617409,0.000000,1000.000000,3833.770086,False,True,True,,-0.000096,-0.000069,-0.030000,-0.030104,-0.030086,110,multi_action,4,178.412765
baseline,0.400000,input_2,2,0.003285,47.684106,1.002889,0.000024,0.000012,0.000048,0.000009,18.821823,23.842053,0.057788,0.123951,1782.182284,1142.102641,0.000000,0.000000,2962.256812,False,True,True,,0.000000,-0.000066,-0.030000,-0.029913,-0.029936,113,multi_action,4,178.412765
candidate,0.360000,input_1,1,0.003516,50.420377,1.001544,0.000050,0.000021,0.000048,0.000026,20.147013,25.210189,0.030876,0.207052,1914.701296,1210.509436,0.000000,1000.000000,4165.637141,False,True,True,,-0.000192,-0.000185,0.030000,0.029961,0.029958,113,multi_action,4,500.430706
candidate,0.360000,input_1,2,0.003438,43.048088,1.002106,0.000101,0.000053,0.000192,0.000020,19.698403,21.524044,0.042118,0.457240,1869.840259,1026.202207,0.000000,1000.000000,3933.199254,False,True,True,,-0.000288,-0.000221,0.030000,0.029865,0.029907,114,multi_action,4,500.430706
candidate,0.360000,input_2,1,0.003417,43.080218,0.999448,0.000037,0.000030,0.000144,0.000018,19.579973,21.540109,0.011033,0.319975,1857.997314,1027.005448,0.000000,0.000000,2921.977567,False,True,True,,-0.000144,-0.000153,-0.030000,-0.029817,-0.029923,114,multi_action,4,500.430706
candidate,0.360000,input_2,2,0.003476,51.719004,0.999680,0.000001,0.000000,0.000000,0.000000,19.915561,25.859502,0.006392,0.000000,1891.556132,1242.975109,0.000000,0.000000,3175.136002,False,True,True,,-0.000096,-0.000085,-0.030000,-0.029913,-0.029912,111,multi_action,4,500.430706
candidate,0.440000,input_1,1,0.002976,34.507161,1.002076,0.000036,0.000024,0.000048,0.000009,17.052790,17.253581,0.041511,0.162927,1605.279007,812.679025,0.000000,0.000000,2448.905528,False,True,True,,-0.000288,-0.000234,0.030000,0.029913,0.029924,113,multi_action,4,218.514325
candidate,0.440000,input_1,2,0.003000,41.207457,1.005761,0.000057,0.000015,0.000048,0.000018,17.191438,20.603729,0.115214,0.162321,1619.143786,980.186431,0.000000,1000.000000,3633.114601,False,True,True,,-0.000288,-0.000130,0.030000,0.029913,0.029903,113,multi_action,4,218.514325
