role,kp,action_label,rmse_rad,phase_lag_deg,amplitude_ratio,overshoot_rad,tail_std_rad,tail_peak_to_peak_rad,tail_diff_rms_rad,rmse_term,phase_lag_term,amplitude_ratio_term,smoothness_term,rmse_penalty,phase_lag_penalty,amplitude_ratio_penalty,overshoot_penalty,search_cost,search_cost_std,repeat_count,strict_ok,expand_safe,stable_ok,note,raw_trial_count,display_action_label,display_repeat_index,display_initial_position_rad,display_initial_reference_position_rad,display_target_position_rad,display_final_position_rad,display_final_reference_position_rad,display_sample_count
baseline,0.400000,multi_action,0.003233,43.512761,1.001355,0.000085,0.000037,0.000108,0.000017,18.525191,21.756380,0.028664,0.301326,1752.519068,1037.819022,0.000000,1000.000000,3576.426214,178.412765,4,False,True,True,aggregated_from_multi_actions,4,input_1,1,-0.000048,-0.000096,0.030000,0.030008,0.030083,111
candidate,0.360000,multi_action,0.003462,47.066922,1.000695,0.000048,0.000026,0.000096,0.000016,19.835238,23.533461,0.022605,0.246067,1883.523750,1126.673050,0.000000,1000.000000,3548.987491,500.430706,4,False,True,True,aggregated_from_multi_actions,4,input_2,1,-0.000144,-0.000153,-0.030000,-0.029817,-0.029923,114
candidate,0.440000,multi_action,0.003006,36.208511,1.002800,0.000057,0.000020,0.000048,0.000014,17.225057,18.104255,0.056081,0.166778,1622.505746,855.212773,0.000000,1000.000000,3259.524390,218.514325,4,False,True,True,aggregated_from_multi_actions,4,input_2,1,-0.000048,-0.000067,-0.030000,-0.029961,-0.029986,112
candidate,0.520000,multi_action,0.002615,33.863176,0.997156,0.000112,0.000041,0.000108,0.000020,14.982730,16.931588,0.056871,0.324160,1398.273002,796.579409,0.000000,1000.000000,3223.556709,4.828193,4,False,True,True,aggregated_from_multi_actions,4,input_1,2,-0.000288,-0.000234,0.030000,0.029961,0.029981,116
candidate,0.482000,multi_action,0.002810,34.279025,1.000659,0.000124,0.000038,0.000108,0.000014,16.098389,17.139512,0.020711,0.292497,1509.838906,806.975613,0.000000,1000.000000,3346.775943,28.372342,4,False,False,True,aggregated_from_multi_actions,4,input_2,2,-0.000240,-0.000236,-0.030000,-0.030152,-0.030099,110
candidate,0.490000,multi_action,0.002761,37.932698,0.999919,0.000098,0.000025,0.000060,0.000017,15.820703,18.966349,0.054611,0.208671,1482.070336,898.317459,0.000000,1000.000000,3161.499565,223.805256,4,False,True,True,aggregated_from_multi_actions,4,input_2,2,0.000048,-0.000072,-0.030000,-0.029913,-0.029912,111
best_candidate,0.550000,multi_action,0.002504,32.285384,0.998275,0.000108,0.000044,0.000132,0.000024,14.344528,16.142692,0.042607,0.372803,1334.452803,757.134591,0.000000,1000.000000,3119.043129,73.152760,4,False,True,True,aggregated_from_multi_actions,4,input_1,2,-0.000240,-0.000197,0.030000,0.030104,0.030020,113
