role,kp,action_label,repeat_index,rmse_rad,phase_lag_deg,amplitude_ratio,overshoot_rad,tail_std_rad,tail_peak_to_peak_rad,tail_diff_rms_rad,rmse_term,phase_lag_term,amplitude_ratio_term,smoothness_term,rmse_penalty,phase_lag_penalty,amplitude_ratio_penalty,overshoot_penalty,search_cost,strict_ok,expand_safe,stable_ok,note,initial_position_rad,initial_reference_position_rad,target_position_rad,final_position_rad,final_reference_position_rad,sample_count,summary_action_label,summary_repeat_count,summary_search_cost_std
candidate,0.610000,input_1,1,0.003779,32.991192,1.001281,0.000196,0.000036,0.000096,0.000012,21.654847,16.495596,0.025624,0.267342,2065.484696,774.779809,0.000000,1000.000000,3875.255906,False,False,True,,-0.029961,-0.029913,0.030000,0.030008,0.030052,121,multi_action,4,1382.710395
candidate,0.610000,input_1,2,0.003745,34.429363,1.001160,0.000119,0.000022,0.000048,0.000013,21.459095,17.214681,0.023197,0.168451,2045.909451,810.734071,0.000000,1000.000000,3891.964386,False,True,True,,-0.030056,-0.029996,0.030000,0.030008,0.029986,120,multi_action,4,1382.710395
candidate,0.610000,input_2,1,0.000046,-36.563676,-0.204563,0.000096,0.000021,0.000048,0.000020,0.262907,-18.281838,24.091259,0.191563,0.000000,0.000000,97.226354,1000.000000,1088.982386,False,False,True,,-0.029913,-0.029962,-0.030000,-0.029913,-0.029913,92,multi_action,4,1382.710395
candidate,0.610000,input_2,2,0.000041,-32.852384,-0.842105,0.000096,0.000029,0.000144,0.000030,0.234858,-16.426192,36.842105,0.355536,0.000000,0.000000,150.914127,1000.000000,1147.396326,False,False,True,,-0.029865,-0.029913,-0.030000,-0.029769,-0.029865,93,multi_action,4,1382.710395
candidate,0.583000,input_1,1,0.003849,34.462437,0.999535,0.000093,0.000024,0.000048,0.000018,22.054603,17.231219,0.009300,0.190459,2105.460283,811.560937,0.000000,1000.000000,3952.958352,False,True,True,,-0.029769,-0.029769,0.030000,0.029913,0.029963,122,multi_action,4,nan
candidate,0.583000,input_1,2,0.003882,35.598106,1.000671,0.000073,0.000043,0.000144,0.000028,22.242091,17.799053,0.013415,0.398513,2124.209129,839.952652,0.000000,1000.000000,4000.845725,False,True,True,,-0.030008,-0.029989,0.030000,0.030056,0.030079,120,multi_action,4,nan
candidate,0.583000,input_2,1,0.000049,-32.924938,-0.213013,0.000096,0.000039,0.000096,0.000026,0.283214,-16.462469,24.260257,0.324976,0.000000,0.000000,97.937924,1000.000000,1091.278715,False,False,True,,-0.030008,-0.029961,-0.030000,-0.030008,-0.030008,93,multi_action,4,nan
candidate,0.583000,input_2,2,0.000043,inf,0.000000,0.000000,inf,inf,inf,0.245662,inf,inf,inf,0.000000,inf,inf,0.000000,inf,False,False,False,reference step too small,-0.030008,-0.030008,-0.030000,-0.030008,-0.030008,95,multi_action,4,nan
candidate,0.620000,input_1,1,0.003717,34.492887,1.000666,0.000134,0.000026,0.000144,0.000022,21.295654,17.246444,0.013323,0.318521,2029.565389,812.322184,0.000000,1000.000000,3877.142973,False,True,True,,-0.030008,-0.030008,0.030000,0.029961,0.029923,119,multi_action,4,1614.901793
candidate,0.620000,input_1,2,0.003732,25.927809,1.001301,0.000077,0.000036,0.000144,0.000025,21.381627,12.963904,0.026020,0.360970,2038.162659,598.195219,0.000000,1000.000000,3668.297618,False,True,True,,-0.030200,-0.030084,0.030000,0.030008,0.029980,121,multi_action,4,1614.901793
candidate,0.620000,input_2,1,0.000063,-34.015773,-0.154728,0.000096,0.000077,0.000240,0.000033,0.363133,-17.007886,23.094557,0.634680,0.000000,0.000000,93.029715,1000.000000,1085.877518,False,False,True,,-0.030008,-0.030041,-0.030000,-0.029913,-0.030008,94,multi_action,4,1614.901793
candidate,0.620000,input_2,2,0.000035,-37.225275,0.789474,0.000048,0.000018,0.000048,0.000010,0.202308,-18.612638,4.210526,0.146132,0.000000,0.000000,13.518006,0.000000,-0.044099,False,False,True,,-0.029961,-0.029913,-0.030000,-0.029961,-0.029961,94,multi_action,4,1614.901793
candidate,0.635000,input_1,1,0.003640,34.490368,0.999928,0.000159,0.000042,0.000144,0.000024,20.857853,17.245184,0.001431,0.377188,1985.785297,812.259202,0.000000,1000.000000,3832.887451,False,False,True,,-0.029913,-0.029961,0.030000,0.030056,0.029993,119,multi_action,4,nan
candidate,0.635000,input_1,2,0.003674,31.656972,1.000546,0.000147,0.000046,0.000144,0.000027,21.051022,15.828486,0.010914,0.402810,2005.102250,741.424288,0.000000,1000.000000,3780.444482,False,True,True,,-0.030056,-0.030061,0.030000,0.029961,0.029957,119,multi_action,4,nan
candidate,0.635000,input_2,1,0.000044,-36.843920,1.446742,0.000048,0.000000,0.000000,0.000000,0.253218,-18.421960,8.934844,0.000000,0.000000,0.000000,0.000000,0.000000,-12.250639,True,True,True,,-0.030104,-0.030045,-0.030000,-0.029913,-0.029913,95,multi_action,4,nan
candidate,0.635000,input_2,2,0.000074,inf,0.000000,0.000000,inf,inf,inf,0.423396,inf,inf,inf,0.000000,inf,inf,0.000000,inf,False,False,False,reference step too small,-0.029913,-0.029913,-0.030000,-0.029913,-0.029913,93,multi_action,4,nan
