role,kp,action_label,rmse_rad,phase_lag_deg,amplitude_ratio,overshoot_rad,tail_std_rad,tail_peak_to_peak_rad,tail_diff_rms_rad,rmse_term,phase_lag_term,amplitude_ratio_term,smoothness_term,rmse_penalty,phase_lag_penalty,amplitude_ratio_penalty,overshoot_penalty,search_cost,search_cost_std,repeat_count,strict_ok,expand_safe,stable_ok,note,raw_trial_count,display_action_label,display_repeat_index,display_initial_position_rad,display_initial_reference_position_rad,display_target_position_rad,display_final_position_rad,display_final_reference_position_rad,display_sample_count
baseline,0.400000,multi_action,0.002678,6.875094,0.395163,0.000080,0.000032,0.000084,0.000016,15.341238,3.437547,12.096742,0.254476,1469.839279,496.488399,48.793481,1000.000000,2536.363858,1943.520718,4,False,False,True,aggregated_from_multi_actions,4,input_2,2,-0.030104,-0.030156,-0.030000,-0.030152,-0.030104,92
candidate,0.500000,multi_action,0.002235,inf,0.568763,0.000049,inf,inf,inf,12.807467,inf,inf,inf,1226.555115,inf,inf,1000.000000,inf,nan,4,False,False,False,aggregated_from_multi_actions,4,input_1,2,-0.030008,-0.030008,0.030000,0.030008,0.030080,120
candidate,0.575000,multi_action,0.001999,-0.869785,-0.108703,0.000084,0.000034,0.000096,0.000020,11.455976,-0.434893,22.174066,0.284054,1084.542004,395.388855,91.244444,1000.000000,2087.968908,1908.200499,4,False,False,True,aggregated_from_multi_actions,4,input_2,2,-0.029961,-0.030008,-0.030000,-0.029961,-0.029961,94
best_candidate,0.650000,multi_action,0.001822,-2.736115,-1.734628,0.000076,0.000031,0.000108,0.000018,10.439133,-1.368057,54.705811,0.283409,985.146228,301.501428,228.157769,1000.000000,2037.968270,1566.730790,4,False,False,True,aggregated_from_multi_actions,4,input_2,2,-0.030056,-0.030104,-0.030000,-0.030008,-0.030056,93
candidate,0.570000,multi_action,0.001999,2.394028,1.583649,0.000089,0.000030,0.000084,0.000019,11.453065,1.197014,12.731350,0.257828,1081.994858,352.103699,1.163435,1000.000000,2200.984420,1702.006222,4,False,False,True,aggregated_from_multi_actions,4,input_2,1,-0.030008,-0.029970,-0.030000,-0.029961,-0.029961,92
candidate,0.610000,multi_action,0.001903,-0.498876,0.238943,0.000127,0.000027,0.000084,0.000019,10.902927,-0.249438,15.245546,0.245723,1027.848537,396.378470,62.035120,1000.000000,2500.899751,1382.710395,4,False,False,True,aggregated_from_multi_actions,4,input_2,1,-0.029913,-0.029962,-0.030000,-0.029913,-0.029913,92
candidate,0.583000,multi_action,0.001956,inf,0.446798,0.000066,inf,inf,inf,11.206392,inf,inf,inf,1057.417353,inf,inf,1000.000000,inf,nan,4,False,False,False,aggregated_from_multi_actions,4,input_1,1,-0.029769,-0.029769,0.030000,0.029913,0.029963,122
candidate,0.620000,multi_action,0.001887,-2.705088,0.659178,0.000089,0.000039,0.000144,0.000022,10.810681,-1.352544,6.836107,0.365076,1016.932012,352.629351,26.636930,1000.000000,2157.818503,1614.901793,4,False,False,True,aggregated_from_multi_actions,4,input_2,2,-0.029961,-0.029913,-0.030000,-0.029961,-0.029961,94
candidate,0.635000,multi_action,0.001858,inf,0.861804,0.000089,inf,inf,inf,10.646372,inf,inf,inf,997.721887,inf,inf,1000.000000,inf,nan,4,False,False,False,aggregated_from_multi_actions,4,input_1,2,-0.030056,-0.030061,0.030000,0.029961,0.029957,119
