role,kp,action_label,rmse_rad,phase_lag_deg,amplitude_ratio,overshoot_rad,tail_std_rad,tail_peak_to_peak_rad,tail_diff_rms_rad,rmse_term,phase_lag_term,amplitude_ratio_term,smoothness_term,rmse_penalty,phase_lag_penalty,amplitude_ratio_penalty,overshoot_penalty,search_cost,search_cost_std,repeat_count,strict_ok,expand_safe,stable_ok,note,raw_trial_count,display_action_label,display_repeat_index,display_initial_position_rad,display_initial_reference_position_rad,display_target_position_rad,display_final_position_rad,display_final_reference_position_rad,display_sample_count
baseline,0.500000,multi_action,0.002781,10.995338,0.620995,0.000062,0.000008,0.000040,0.000010,15.935172,5.497669,7.600540,0.103491,1524.172329,499.859893,30.555722,1000.000000,2576.873132,1776.529183,6,False,False,True,aggregated_from_multi_actions,6,input_2,1,0.000096,0.000099,0.000000,0.000096,0.000096,135
candidate,0.450000,multi_action,0.003007,inf,0.640877,0.000044,inf,inf,inf,17.227953,inf,inf,inf,1652.518589,inf,inf,1000.000000,inf,nan,6,False,False,False,aggregated_from_multi_actions,6,input_3,1,0.000240,0.000240,0.050000,0.050046,0.050092,152
candidate,0.550000,multi_action,0.002575,inf,0.534993,0.000046,inf,inf,inf,14.754121,inf,inf,inf,1405.584700,inf,inf,1000.000000,inf,nan,6,False,False,False,aggregated_from_multi_actions,6,input_3,2,0.000240,0.000216,0.050000,0.050094,0.050096,153
candidate,0.420000,multi_action,0.003123,inf,0.766654,0.000041,inf,inf,inf,17.894157,inf,inf,inf,1719.968013,inf,inf,1000.000000,inf,nan,6,False,False,False,aggregated_from_multi_actions,6,input_1,1,0.000240,0.000246,-0.050000,-0.050046,-0.050044,155
best_candidate,0.580000,multi_action,0.002490,11.887287,0.808879,0.000054,0.000010,0.000040,0.000013,14.265992,5.943643,3.828697,0.120459,1356.135019,483.492736,14.883280,1000.000000,2374.549344,1671.750165,6,False,False,True,aggregated_from_multi_actions,6,input_2,2,0.000144,0.000144,0.000000,0.000192,0.000192,135
candidate,0.610000,multi_action,0.002396,inf,0.363986,0.000029,inf,inf,inf,13.730840,inf,inf,inf,1303.156943,inf,inf,0.000000,inf,nan,6,False,False,False,aggregated_from_multi_actions,6,input_1,1,0.000240,0.000258,-0.050000,-0.049950,-0.049973,153
candidate,0.550750,multi_action,0.002590,inf,0.522395,0.000039,inf,inf,inf,14.840215,inf,inf,inf,1413.650981,inf,inf,1000.000000,inf,nan,6,False,False,False,aggregated_from_multi_actions,6,input_3,2,0.000240,0.000258,0.050000,0.049902,0.049911,153
