role,kp,action_label,repeat_index,rmse_rad,phase_lag_deg,amplitude_ratio,overshoot_rad,tail_std_rad,tail_peak_to_peak_rad,tail_diff_rms_rad,rmse_term,phase_lag_term,amplitude_ratio_term,smoothness_term,rmse_penalty,phase_lag_penalty,amplitude_ratio_penalty,overshoot_penalty,search_cost,strict_ok,expand_safe,stable_ok,note,initial_position_rad,initial_reference_position_rad,target_position_rad,final_position_rad,final_reference_position_rad,sample_count,summary_action_label,summary_repeat_count,summary_search_cost_std
baseline,0.500000,input_1,1,0.004227,33.741953,1.000895,0.000045,0.000008,0.000048,0.000008,24.219331,16.870977,0.017890,0.105110,2321.933084,793.548832,0.000000,0.000000,3153.255056,False,True,True,,0.000192,0.000144,-0.050000,-0.050094,-0.050097,151,multi_action,6,1776.529183
baseline,0.500000,input_1,2,0.004172,26.439483,1.000509,0.000054,0.000013,0.000048,0.000016,23.905101,13.219741,0.010178,0.147685,2290.510118,610.987072,0.000000,1000.000000,3936.054471,False,True,True,,0.000144,0.000122,-0.050000,-0.049950,-0.049945,153,multi_action,6,1776.529183
baseline,0.500000,input_2,1,0.000012,-36.312749,-0.000000,0.000048,0.000000,0.000000,0.000000,0.071014,-18.156374,20.000000,0.000000,0.000000,0.000000,80.000000,0.000000,70.545914,False,False,True,,0.000096,0.000099,0.000000,0.000096,0.000096,135,multi_action,6,1776.529183
baseline,0.500000,input_2,2,0.000016,-25.681600,-0.277095,0.000048,0.000014,0.000096,0.000012,0.089680,-12.840800,25.541903,0.193095,0.000000,0.000000,103.334330,0.000000,99.633393,False,False,True,,0.000192,0.000179,0.000000,0.000144,0.000192,134,multi_action,6,1776.529183
baseline,0.500000,input_3,1,0.004123,33.264312,1.001278,0.000061,0.000015,0.000048,0.000022,23.622910,16.632156,0.025560,0.175058,2262.291020,781.607812,0.000000,1000.000000,4080.921386,False,True,True,,0.000048,0.000096,0.050000,0.050094,0.050081,155,multi_action,6,1776.529183
baseline,0.500000,input_3,2,0.004137,34.520626,1.000385,0.000115,0.000000,0.000000,0.000000,23.702998,17.260313,0.007708,0.000000,2270.299754,813.015643,0.000000,1000.000000,4120.828571,False,True,True,,0.000144,0.000144,0.050000,0.050094,0.050075,153,multi_action,6,1776.529183
candidate,0.450000,input_1,1,0.004549,40.645007,0.998544,0.000053,0.000017,0.000048,0.000026,26.065476,20.322504,0.029114,0.196887,2506.547588,966.125182,0.000000,1000.000000,4515.101970,False,True,True,,0.000048,0.000116,-0.050000,-0.049950,-0.049993,154,multi_action,6,nan
candidate,0.450000,input_1,2,0.004505,34.642425,1.000210,0.000042,0.000024,0.000096,0.000021,25.814109,17.321212,0.004202,0.253705,2481.410859,816.060613,0.000000,0.000000,3337.270453,False,True,True,,0.000192,0.000193,-0.050000,-0.050046,-0.050004,153,multi_action,6,nan
candidate,0.450000,input_2,1,0.000017,-21.642814,-0.154356,0.000048,0.000011,0.000048,0.000017,0.097968,-10.821407,23.087119,0.146492,0.000000,0.000000,92.998394,0.000000,90.284262,False,False,True,,0.000240,0.000217,0.000000,0.000240,0.000240,133,multi_action,6,nan
candidate,0.450000,input_2,2,0.000021,inf,0.000000,0.000000,inf,inf,inf,0.118634,inf,inf,inf,0.000000,inf,inf,0.000000,inf,False,False,False,reference step too small,0.000240,0.000240,0.000000,0.000240,0.000240,134,multi_action,6,nan
