role,kp,action_label,repeat_index,rmse_rad,phase_lag_deg,amplitude_ratio,overshoot_rad,tail_std_rad,tail_peak_to_peak_rad,tail_diff_rms_rad,rmse_term,phase_lag_term,amplitude_ratio_term,smoothness_term,rmse_penalty,phase_lag_penalty,amplitude_ratio_penalty,overshoot_penalty,search_cost,strict_ok,expand_safe,stable_ok,note,initial_position_rad,initial_reference_position_rad,target_position_rad,final_position_rad,final_reference_position_rad,sample_count,summary_action_label,summary_repeat_count,summary_search_cost_std
baseline,0.500000,input_1,1,0.004132,35.197764,1.000411,0.000163,0.000065,0.000144,0.000017,23.675517,17.598882,0.008227,0.434243,2267.551701,829.944112,0.000000,1000.000000,4135.469614,False,False,True,,0.000719,0.000719,-0.050000,-0.049950,-0.049979,153,multi_action,6,1540.368789
baseline,0.500000,input_1,2,0.004185,30.092818,1.000555,0.000215,0.000000,0.000000,0.000000,23.978018,15.046409,0.011103,0.000000,2297.801840,702.320449,0.000000,1000.000000,4036.140210,False,False,True,,0.000815,0.000810,-0.050000,-0.049950,-0.049927,154,multi_action,6,1540.368789
baseline,0.500000,input_2,1,0.000008,-32.495615,-0.000000,0.000000,0.000000,0.000000,0.000000,0.048574,-16.247807,20.000000,0.000000,0.000000,0.000000,80.000000,0.000000,72.050328,False,False,True,,0.000671,0.000715,0.000000,0.000671,0.000671,135,multi_action,6,1540.368789
baseline,0.500000,input_2,2,0.000072,-22.709288,0.401468,0.000192,0.000057,0.000144,0.000014,0.410369,-11.354644,11.970637,0.398755,0.000000,0.000000,46.192158,1000.000000,1040.710848,False,False,True,,0.000671,0.000680,0.000000,0.000719,0.000671,134,multi_action,6,1540.368789
baseline,0.500000,input_3,1,0.003995,31.548734,0.998442,0.000058,0.000026,0.000096,0.000016,22.887762,15.774367,0.031157,0.243527,2188.776182,738.718348,0.000000,1000.000000,3963.131338,False,True,True,,0.000719,0.000671,0.050000,0.050046,0.049988,156,multi_action,6,1540.368789
baseline,0.500000,input_3,2,0.003969,33.187033,1.000785,0.000000,0.000000,0.000000,0.000000,22.739316,16.593517,0.015708,0.000000,2173.931620,779.675827,0.000000,0.000000,2989.625503,False,True,True,,0.000671,0.000719,0.050000,0.049998,0.050007,154,multi_action,6,1540.368789
candidate,0.450000,input_1,1,0.004474,33.309462,0.997772,0.000045,0.000017,0.000048,0.000008,25.635795,16.654731,0.044564,0.136837,2463.579481,782.736556,0.000000,0.000000,3285.355176,False,True,True,,0.000575,0.000686,-0.050000,-0.050094,-0.050097,154,multi_action,6,nan
candidate,0.450000,input_1,2,0.004488,43.245622,0.999545,0.000040,0.000000,0.000000,0.000000,25.716600,21.622811,0.009094,0.000000,2471.660039,1031.140561,0.000000,0.000000,3545.817722,False,True,True,,0.000767,0.000782,-0.050000,-0.049902,-0.049910,154,multi_action,6,nan
candidate,0.450000,input_2,1,0.000051,-24.460251,-0.000000,0.000096,0.000000,0.000000,0.000000,0.293545,-12.230126,20.000000,0.000000,0.000000,0.000000,80.000000,1000.000000,1075.509445,False,False,True,,0.000815,0.000804,0.000000,0.000815,0.000815,135,multi_action,6,nan
candidate,0.450000,input_2,2,0.000000,inf,0.000000,0.000000,inf,inf,inf,0.000000,inf,inf,inf,0.000000,inf,inf,0.000000,inf,False,False,False,reference step too small,0.000815,0.000815,0.000000,0.000815,0.000815,133,multi_action,6,nan
