role,kp,action_label,rmse_rad,phase_lag_deg,amplitude_ratio,overshoot_rad,tail_std_rad,tail_peak_to_peak_rad,tail_diff_rms_rad,rmse_term,phase_lag_term,amplitude_ratio_term,smoothness_term,rmse_penalty,phase_lag_penalty,amplitude_ratio_penalty,overshoot_penalty,search_cost,search_cost_std,repeat_count,strict_ok,expand_safe,stable_ok,note,raw_trial_count,display_action_label,display_repeat_index,display_initial_position_rad,display_initial_reference_position_rad,display_target_position_rad,display_final_position_rad,display_final_reference_position_rad,display_sample_count
baseline,0.500000,multi_action,0.002727,12.470241,0.733610,0.000105,0.000025,0.000064,0.000008,15.623259,6.235121,5.339472,0.179421,1488.010224,508.443123,21.032026,1000.000000,2706.187974,1540.368789,6,False,False,True,aggregated_from_multi_actions,6,input_2,1,0.000671,0.000715,0.000000,0.000671,0.000671,135
candidate,0.450000,multi_action,0.002933,inf,0.666399,0.000057,inf,inf,inf,16.806307,inf,inf,inf,1609.071614,inf,inf,1000.000000,inf,nan,6,False,False,False,aggregated_from_multi_actions,6,input_1,1,0.000575,0.000686,-0.050000,-0.050094,-0.050097,154
candidate,0.550000,multi_action,0.002523,15.917411,0.968940,0.000079,0.000035,0.000088,0.000013,14.455200,7.958705,6.059559,0.259478,1373.158490,502.998049,13.333333,1000.000000,2745.289999,1562.133815,6,False,False,True,aggregated_from_multi_actions,6,input_2,1,0.000719,0.000681,0.000000,0.000719,0.000719,134
candidate,0.420000,multi_action,0.003087,17.052765,0.765480,0.000073,0.000023,0.000048,0.000007,17.689478,8.526382,4.696798,0.153005,1697.711833,560.565940,18.349578,1000.000000,2969.055304,2065.735696,6,False,False,True,aggregated_from_multi_actions,6,input_2,2,0.000623,0.000623,0.000000,0.000575,0.000575,134
candidate,0.580000,multi_action,0.002428,inf,0.721477,0.000066,inf,inf,inf,13.910634,inf,inf,inf,1322.201138,inf,inf,1000.000000,inf,nan,6,False,False,False,aggregated_from_multi_actions,6,input_3,1,0.000767,0.000767,0.050000,0.050094,0.050050,154
candidate,0.470000,multi_action,0.002856,inf,0.604486,0.000044,inf,inf,inf,16.362130,inf,inf,inf,1562.977908,inf,inf,1000.000000,inf,nan,6,False,False,False,aggregated_from_multi_actions,6,input_3,1,0.000815,0.000815,0.050000,0.049902,0.049900,153
candidate,0.530000,multi_action,0.002586,inf,0.440310,0.000068,inf,inf,inf,14.813960,inf,inf,inf,1411.031856,inf,inf,1000.000000,inf,nan,6,False,False,False,aggregated_from_multi_actions,6,input_3,1,0.000719,0.000719,0.050000,0.049950,0.050052,154
